Year,Rec,SSB,Catch,Ffull
1973,71242.5906128724,52076.7982335984,14616.8348770569,0.421605588241438
1974,45028.0374050911,20374.4961896242,17143.9418830044,1.18946697918882
1975,70735.126915797,6256.93724286754,5659.60152728602,1.33752190660642
1976,18871.8669223369,10883.4951173831,3432.15543779245,0.475943106825625
1977,118803.687825119,7004.63317730131,5235.0154893655,1.06439462330372
1978,113069.428369097,12330.7084196139,8175.92347819967,0.857511317975073
1979,84750.9582480159,9364.54087106271,9497.31704339856,1.31597619975825
1980,74869.9416785279,12312.8050582878,8005.11395470017,0.804893798077872
1981,159787.148492669,24467.2011298864,6616.66701347811,0.341070162768086
1982,75419.6265998125,41084.7125482293,15875.7112783553,0.477686962212561
1983,54759.5794163946,38719.1629743613,22312.6372680765,0.741233677513997
1984,36180.1493493085,10219.0491480135,11248.2465815167,1.44228032400225
1985,28805.6077831002,3627.74525970851,5003.52634775666,1.71992097601145
1986,10591.2135791386,5249.83587391274,4649.55592407479,1.12178073407938
1987,42534.5920201493,2086.27234441854,2577.31361017564,1.54413772125669
1988,137623.734549102,2078.64073962091,2724.56455822946,1.5242356707909
1989,14801.9319451784,13998.4606901493,8139.05053294307,0.81027207334984
1990,10329.693229044,17442.1713173573,17844.5420639068,1.29214944538526
1991,14514.7316291051,6356.79420756319,6667.76371377479,1.25158730888554
1992,5569.98426734143,2623.66703999807,2841.00928391517,1.12533143290922
1993,6453.49292070582,1466.43039657561,775.74243251414,0.588123480852354
1994,30219.1822854921,860.12925132616,701.359310514977,1.07374307734022
1995,4440.47267987052,2069.89195323854,342.343954038658,0.23172963045531
1996,10031.9624938005,3268.12236650766,767.303390566438,0.297381801905147
1997,30011.2585658279,4720.0002582518,1228.53217577344,0.332614215367872
1998,17347.1557670723,5027.53240045697,1100.95444451468,0.264603512446454
1999,20751.5168187922,5373.9996062665,1434.61331478068,0.347532922390666
2000,6538.08482031831,5356.71187129932,1415.34811649584,0.318873373321315
2001,20967.5598741407,3048.03645324939,1483.21750402494,0.606415177121697
2002,10281.2234046154,4110.71825537066,947.951684914563,0.268449981427964
2003,21071.1818426187,1895.72831506879,662.37220698718,0.452518903475978
2004,4247.72672567195,1140.32230015105,629.23283991456,0.720392892936431
2005,61938.8965122869,1262.08042849754,344.815073314597,0.3390211417777
2006,25347.2691217497,3298.81982545651,398.163880443173,0.152333668658343
2007,6246.5409814133,3267.81887533922,504.116099454089,0.201330004463668
2008,50919.3351576166,3312.21778741438,580.763995857861,0.211130081233694
2009,23560.6398080677,3874.74255205887,454.979710994342,0.133873297320523
2010,16825.6519114591,9128.8216703363,291.407828640514,0.0376886098172819
2011,27027.525413472,5667.10004405228,391.120545635515,0.0893330395013536
2012,8996.25648960405,6868.0666991505,563.168845798374,0.116904134988521
2013,13737.7740580393,4225.22163713356,651.80777396626,0.207389493814282
2014,1410.97493369557,2092.13042246394,643.247672924626,0.36731441502717
2015,770.046342829501,890.863904639832,345.504574154895,0.549289763214586
2016,10578.6197998913,771.084234765907,151.533439519029,0.357438625613852
